Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
15,Tuesday,Video,--,--,--
15,Tuesday,Demand Gen,--,--,--
15,Tuesday,Performance Max,--,14.76%,82.1%
15,Wednesday,Search,< 10%,23.7%,63.07%
15,Wednesday,Shopping,--,--,--
15,Wednesday,Video,--,--,--
15,Wednesday,Demand Gen,--,--,--
15,Wednesday,Performance Max,--,7.96%,88.69%
15,Thursday,Search,< 10%,24.68%,62.19%
15,Thursday,Shopping,--,--,--
15,Thursday,Video,--,--,--
15,Thursday,Demand Gen,--,--,--
15,Thursday,Performance Max,--,8.76%,87.83%
15,Friday,Search,< 10%,25.47%,61.06%
15,Friday,Shopping,--,--,--
15,Friday,Video,--,--,--
15,Friday,Demand Gen,--,--,--
15,Friday,Performance Max,--,10.71%,85.89%
15,Saturday,Search,< 10%,22.88%,63.83%
15,Saturday,Shopping,--,--,--
15,Saturday,Video,--,--,--
15,Saturday,Demand Gen,--,--,--
15,Saturday,Performance Max,--,11.43%,85%
16,Sunday,Search,< 10%,31.92%,54.92%
16,Sunday,Shopping,--,--,--
16,Sunday,Video,--,--,--
16,Sunday,Demand Gen,--,--,--
16,Sunday,Performance Max,--,18.31%,78.42%
16,Monday,Search,< 10%,35.57%,51.55%
16,Monday,Shopping,--,--,--
16,Monday,Video,--,--,--
16,Monday,Demand Gen,--,--,--
16,Monday,Performance Max,--,13.64%,82.87%
16,Tuesday,Search,< 10%,26.43%,60.9%
16,Tuesday,Shopping,--,--,--
16,Tuesday,Video,--,--,--
16,Tuesday,Demand Gen,--,--,--
16,Tuesday,Performance Max,--,13.24%,83.46%
16,Wednesday,Search,< 10%,23.04%,63.66%
16,Wednesday,Shopping,--,--,--
16,Wednesday,Video,--,--,--
16,Wednesday,Demand Gen,--,--,--
16,Wednesday,Performance Max,--,7.73%,88.67%
16,Thursday,Search,< 10%,24.05%,63.45%
16,Thursday,Shopping,--,--,--
16,Thursday,Video,--,--,--
16,Thursday,Demand Gen,--,--,--
16,Thursday,Performance Max,--,8.87%,87.57%
16,Friday,Search,10.55%,25.2%,60.55%
16,Friday,Shopping,--,--,--
16,Friday,Video,--,--,--
16,Friday,Demand Gen,--,--,--
16,Friday,Performance Max,--,10.21%,86.09%
16,Saturday,Search,10.55%,21.94%,64.19%
16,Saturday,Shopping,--,--,--
16,Saturday,Video,--,--,--
16,Saturday,Demand Gen,--,--,--
16,Saturday,Performance Max,--,10.55%,85.59%
17,Sunday,Search,< 10%,29.8%,56.99%
17,Sunday,Shopping,--,--,--
17,Sunday,Video,--,--,--
17,Sunday,Demand Gen,--,--,--
17,Sunday,Performance Max,--,17.12%,79.38%
17,Monday,Search,10.32%,34.79%,51.42%
17,Monday,Shopping,--,--,--
17,Monday,Video,--,--,--
17,Monday,Demand Gen,--,--,--
17,Monday,Performance Max,--,14.39%,81.97%
17,Tuesday,Search,< 10%,26.43%,60.63%
17,Tuesday,Shopping,--,--,--
17,Tuesday,Video,--,--,--
17,Tuesday,Demand Gen,--,--,--
17,Tuesday,Performance Max,--,11.93%,84.68%
17,Wednesday,Search,10.45%,22.05%,63.84%
17,Wednesday,Shopping,--,--,--
17,Wednesday,Video,--,--,--
17,Wednesday,Demand Gen,--,--,--
17,Wednesday,Performance Max,--,7.13%,88.93%
17,Thursday,Search,< 10%,22.43%,64.2%
17,Thursday,Shopping,--,--,--
17,Thursday,Video,--,--,--
17,Thursday,Demand Gen,--,--,--
17,Thursday,Performance Max,--,8.76%,87.38%
17,Friday,Search,11.1%,25.02%,59.94%
17,Friday,Shopping,--,--,--
17,Friday,Video,--,--,--
17,Friday,Demand Gen,--,--,--
17,Friday,Performance Max,--,10.1%,86.21%
17,Saturday,Search,10.7%,20.74%,65.09%
17,Saturday,Shopping,--,--,--
17,Saturday,Video,--,--,--
17,Saturday,Demand Gen,--,--,--
17,Saturday,Performance Max,--,10.51%,85.75%
18,Sunday,Search,< 10%,28.57%,58.24%
18,Sunday,Shopping,--,--,--
18,Sunday,Video,--,--,--
18,Sunday,Demand Gen,--,--,--
18,Sunday,Performance Max,--,15.31%,81.06%
18,Monday,Search,< 10%,33.11%,53.77%
18,Monday,Shopping,--,--,--
18,Monday,Video,--,--,--
18,Monday,Demand Gen,--,--,--
18,Monday,Performance Max,--,13.83%,82.25%
18,Tuesday,Search,< 10%,25.57%,61.56%
18,Tuesday,Shopping,--,--,--
18,Tuesday,Video,--,--,--
18,Tuesday,Demand Gen,--,--,--
18,Tuesday,Performance Max,--,11.31%,84.98%
18,Wednesday,Search,10.43%,20.22%,65.9%
18,Wednesday,Shopping,--,--,--
18,Wednesday,Video,--,--,--
18,Wednesday,Demand Gen,--,--,--
18,Wednesday,Performance Max,--,7.13%,88.38%
18,Thursday,Search,10.33%,19.31%,66.63%
18,Thursday,Shopping,--,--,--
18,Thursday,Video,--,--,--
18,Thursday,Demand Gen,--,--,--
18,Thursday,Performance Max,--,8.29%,87.63%
18,Friday,Search,11.01%,23.63%,61.14%
18,Friday,Shopping,--,--,--
18,Friday,Video,--,--,--
18,Friday,Demand Gen,--,--,--
18,Friday,Performance Max,--,10.06%,85.86%
18,Saturday,Search,10.22%,19.57%,66.98%
18,Saturday,Shopping,--,--,--
