Month,Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
January 2024,21,Friday,Shopping,--,--,--
January 2024,21,Friday,Performance Max,--,4.45%,> 90%
January 2024,21,Saturday,Search,13.49%,11.11%,67.51%
January 2024,21,Saturday,Shopping,--,--,--
January 2024,21,Saturday,Performance Max,--,26%,68.57%
January 2024,22,Sunday,Search,14.78%,3.33%,71.93%
January 2024,22,Sunday,Shopping,--,--,--
January 2024,22,Sunday,Performance Max,--,6.85%,89.32%
January 2024,22,Monday,Search,< 10%,0.76%,84.89%
January 2024,22,Monday,Shopping,--,--,--
January 2024,22,Monday,Performance Max,--,5.82%,89.73%
January 2024,22,Tuesday,Search,11.89%,0.62%,78.17%
January 2024,22,Tuesday,Shopping,--,--,--
January 2024,22,Tuesday,Performance Max,--,0.89%,> 90%
January 2024,22,Wednesday,Search,< 10%,1.11%,86.05%
January 2024,22,Wednesday,Shopping,--,--,--
January 2024,22,Wednesday,Performance Max,--,29.85%,65.83%
January 2024,22,Thursday,Search,< 10%,0.71%,86.64%
January 2024,22,Thursday,Shopping,--,--,--
January 2024,22,Thursday,Performance Max,--,0.99%,> 90%
January 2024,22,Friday,Search,< 10%,0.95%,85.95%
January 2024,22,Friday,Shopping,--,--,--
January 2024,22,Friday,Performance Max,--,2.74%,> 90%
January 2024,22,Saturday,Search,< 10%,15.88%,71.44%
January 2024,22,Saturday,Shopping,--,--,--
January 2024,22,Saturday,Performance Max,--,27.14%,67.79%
January 2024,23,Sunday,Search,14.62%,0.96%,78.34%
January 2024,23,Sunday,Shopping,--,--,--
January 2024,23,Sunday,Performance Max,--,8.15%,87.4%
January 2024,23,Monday,Search,< 10%,0.72%,84.86%
January 2024,23,Monday,Performance Max,--,5.47%,> 90%
January 2024,23,Tuesday,Search,< 10%,1.45%,82.91%
January 2024,23,Tuesday,Shopping,--,--,--
January 2024,23,Tuesday,Performance Max,--,0.83%,> 90%
January 2024,23,Wednesday,Search,< 10%,0.5%,85.61%
January 2024,23,Wednesday,Shopping,--,--,--
January 2024,23,Wednesday,Performance Max,--,35.72%,60.71%
January 2024,23,Thursday,Search,< 10%,0.21%,88.94%
January 2024,23,Thursday,Shopping,--,--,--
January 2024,23,Thursday,Performance Max,--,0.99%,> 90%
January 2024,23,Friday,Search,< 10%,0.45%,89.62%
